Department,Author
IS16,Susan Cain
IS17,Various
IS18,Buscha/Friedrich
IS19,"Stefanie Dengler, Paul Rusch, Helen Schmitz, Tanja Sieber"
IS20,"Stefanie Dengler, Paul Rusch, Helen Schmitz, Tanja Sieber"
IS21,Gaston Dorren
IS22,Hans Gutbrod
IS23,"Sheryl Sandberg, Adam Grant"
IS23.1,"Sheryl Sandberg, Adam Grant"
IS24,Johann Hari
IS25,Carl Cederström
IS26,Simon Sinek
IS27,Mikkel Krause Frantzen
IS28,Barbara Ehrenreich
IS29,Erin Meyer
IS29.1,Erin Meyer
IS29.2,Erin Meyer
IS30,Darla K. Deardorff
DH01,David Goldhill
DH02,Atul Gawande
DH03,Jim Al-Khalili & Johnjoe McFadden
DH04,Eric Topol
DH05,Atul Gawande
DH06,Andrew McAfee & Erik Brynjolfsson
DH07,Atul Gawande
DH08,Shannon Brownlee
DH09,Clayton M. Christensen
DH10,Fred Trotter & David Uhlman
DH11,Michael E. Porter & Clemens Guth
DH12,Robert Wachter
DH13,Jonathan Bush
DH14,Eric Topol
DH15,Samuel A. Fricker & Christoph Thümmler & Anastasius Gavras
DH16,Jeremy N. Smith
DH17,Hartwig Huland/Markus Graefen/Jens Deerberg-Wittram (Hrsg.)
DH18,Erwin Böttinger/Jasper zu Putlitz (Hrsg.)
DH19,Michael E. Porter & Elizabeth Olmsted Teisberg
XXL01,"Sandra Rendgen, Ed. Julius Wiedemann"
XXL02,"Jan Schwochow, Thomas Ramge"
XXL03,Anja Hermanni
XXL04,Otto Group
XXL05,"Eric Lehman, F Tom Leighton & Albert R Meyer"
XXL06,Sandra Rendgen
XXL07,Wang Shaoqiang
XXL08,"Frank Thomas, Ollie Johnston"
XXL09,"Jennifer Bass, Pat Kirkham"
XXL10,
XXL11,"Gavin Ambrose, Paul Harris"
XXL12,Sumanta Guha
XXL13,Alina Wheeler
