,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,ISBN,Publication Year,Language,Quantity,Subject Area,Status,Name,C/O Date,,Return Date
SE23,Data Access for Highly-Scalable Solutions,"Using SQL, NoSQL, and Polyglot Persistence","Douglas McMurtry, Andrew Oakley, John Sharp, Mani Subramanian, Hanzhong Zhang",Microsoft patterns & practices,https://m.media-amazon.com/images/I/51Jd9evk8EL._AC_UL872_FMwebp_QL65_.jpg,SE,9781621140306,2013,en,1,Databases,Available,,,,
SE24,Redis in Action,,Josiah L. Carlson,,,,,,,,Key Value DB,Available,,,,
SE25,Big Data,Principles and Best Practices of Scalable Realtime Data Systems,"Nathan Marz, James Warren",Manning Publications Company,http://books.google.com/books/content?id=HW-kMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781617290343,2015,en,1,Databases,Available,,,,
SE26,Hadoop: The Definitive Guide,,Tom White,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=drbI_aro20oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491901632,2015,en,1,Databases,Available,,,,
SE27,Learning Spark,Lightning-Fast Big Data Analysis,"Holden Karau, Andy Konwinski, Patrick Wendell, Matei Zaharia","O'Reilly Media, Inc.",http://books.google.com/books/content?id=tOptBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449358624,2015,en,1,Programming Languages,Available,,,,
SE28,Advanced Analytics with Spark,Patterns for Learning from Data at Scale,"Sandy Ryza, Uri Laserson, Sean Owen, Josh Wills","O'Reilly Media, Inc.",http://books.google.com/books/content?id=uJonDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491972953,2017,en,1,Programming Languages,Available,,,,
SE29,Database Systems,The Complete Book,"Hector Garcia-Molina, Jeffrey D Ullman, Jennifer Widom",Pearson Higher Ed,http://books.google.com/books/content?id=3LipBwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781292024479,2014,en,1,Databases,Available,,,,
SE30,Datenbanksysteme,Eine Einführung,"Alfons Kemper, Andre Eickler",De Gruyter,"https://images-na.ssl-images-amazon.com/images/I/51cbxoHJirL._SX346_BO1,204,203,200_.jpg",SE,9783110443752,2015,de,1,Databases,Available,,,,
SE31,The Technical Foundations of IoT,,"Boris Adryan, Dominik Obermaier, Paul Fremantle",Artech House,http://books.google.com/books/content?id=6YQ0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781630812515,2017,en,1,Telecommunications,Rented,Emily Morgan,2020-03-11,,1-Sep-2020
SE32,The Amazon Way on IoT,10 Principles for Every Leader from the World's Leading Internet of Things Strategies,John Rossman,Clyde Hill Publishing,http://books.google.com/books/content?id=SUJ_DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780692739006,2016,en,1,E-commerce,Available,,,,
SE33,Enterprise IoT,Strategies and Best Practices for Connected Products and Services,"Dirk Slama, Frank Puhlmann, Jim Morrish, Rishi M Bhatnagar","O'Reilly Media, Inc.",http://books.google.com/books/content?id=iqDUCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491924839,2016,en,1,Telecommunications,Missing,,,,
SE34,Raspberry Pi IoT Projects,Prototyping Experiments for Makers,John C. Shovic,Apress,http://books.google.com/books/content?id=g5vVDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781484213780,2016,en,1,Hardware,Available,,,,
SE35,IoT Hackers Handbook,An Ultimate Guide to Hacking the Internet of Things and Learning IoT Security,ADITYA. GUPTA,Attify Inc,https://m.media-amazon.com/images/I/51qp4vdf6-L._AC_UL872_FMwebp_QL65_.jpg,SE,9781974590124,2017,en,1,Educational Research,Available,,,,
SE36,Deep Learning (Adaptive Computation and Machine Learning),,Ian Goodfellow,,,,,,,,Machine Learning,Available,,,,
SE37,Machine Learning,The New AI,Ethem Alpaydin,MIT Press,http://books.google.com/books/content?id=AGQ4DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780262529518,2016,en,1,Artificial Intelligence,Available,,,,
SE38,Real-World Machine Learning,,Hendrick Brink,,,,,,,,Machine Learning,Available,,,,
SE39,Skalierbare Container-Infrastrukturen: Das Handbuch für Administratoren und DevOps-Teams,,Oliver Liebel,,,,,,,,HA,Available,,,,
SE40,Kubernetes Cookbook: Building Cloud Native Applications,,Sébastien Goasguen,,,,,,,,DevOps,Available,,,,
SE41,Mastering Docker,Master this widely used containerization tool,"Russ McKendrick, Scott Gallagher",Packt Publishing Ltd,https://m.media-amazon.com/images/I/71qZi7-PpwL._AC_UL640_FMwebp_QL65_.jpg,SE,9781787280243,2017,en,1,Design and Architecture,Available,,,,
SE42,Docker Orchestration,"A concise, fast-paced guide to orchestrating and deploying scalable services with Docker",Randall Smith,Packt Publishing Ltd,http://books.google.com/books/content?id=4U8oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781787122123,2917,en,1,Design and Architecture,Available,,,,
SE43,Continuous Delivery with Docker and Jenkins,Delivering software at scale,Rafal Leszko,Packt Publishing Ltd,http://books.google.com/books/content?id=RpZGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781787125230,2017,en,1,Parallel Processing Computers,Available,,,,
SE44,Docker: Up & Running,Shipping Reliable Containers in Production,"Sean P. Kane, Karl Matthias",O'Reilly Media,http://books.google.com/books/content?id=GVJtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491917572,2015,en,1,Parallel Processing Computers,Available,,,,
SE45,Swift Programming,The Big Nerd Ranch Guide,"Matthew Mathias, John Gallagher",Big Nerd Ranch,http://books.google.com/books/content?id=fhiMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780134610610,2016,en,1,Programming Languages,Available,,,,
SE46,iOS Programming,The Big Nerd Ranch Guide,"Aaron Hillegass, Joe Conway",Big Nerd Ranch,http://books.google.com/books/content?id=gj7tjxGztGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780134682334,2016,en,1,Programming Languages,Available,,,,
SE47,Android Programming,The Big Nerd Ranch Guide,"Bill Phillips, Chris Stewart, Kristin Marsicano",Big Nerd Ranch,http://books.google.com/books/content?id=GjZKCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780134706054,2017,en,1,Programming Languages,Available,,,,
SE48,Android Cookbook,Problems and Solutions for Android Developers,Ian F. Darwin,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=AdPTDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449374433,2017,en,1,Programming Languages,Available,,,,
SE49,Clean Architecture,A Craftsman's Guide to Software Structure and Design,Robert C. Martin,Prentice Hall,http://books.google.com/books/content?id=uGE1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780134494166,2018,en,1,Software Engineering,Available,,,,
SE50,Design Patterns,Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",Pearson Education,http://books.google.com/books/content?id=6oHuKQe3TjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,201633612,1995,en,1,Design Pattern Programming,Missing,,,,
SE51,Serious Cryptography,A Practical Introduction to Modern Encryption,Jean-Philippe Aumasson,No Starch Press,http://books.google.com/books/content?id=hLcrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593278267,2018,en,1,Security,Available,,,,
SE52,Understanding Cryptography,A Textbook for Students and Practitioners,"Christof Paar, Jan Pelzl",Springer Science & Business Media,http://books.google.com/books/content?id=f24wFELSzkoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9783642041006,2010,en,1,Security,Available,,,,
SE53,Attacking Network Protocols,"A Hacker's Guide to Capture, Analysis, and Exploitation",James Forshaw,No Starch Press,http://books.google.com/books/content?id=kLgrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593277505,2018,en,1,Security,Available,,,,
SE54,Bulletproof SSL and TLS,Understanding and Deploying SSL/TLS and PKI to Secure Servers and Web Applications,Ivan Ristic,Feisty Duck,http://books.google.com/books/content?id=fQOLBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781907117046,2017,en,1,Security,Available,,,,
SE55,Hash Crack - Password Cracking Manual,Netmux,,Amazon Fulfillment,http://books.google.com/books/content?id=luonswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,978150444967,2016,en,1,Security,Available,,,,
SE56,The Code Book: Science of Secrecy from Ancient Egypt to Quantum Cryptography,,Simon Singh,,,,,,,,Security,Missing,,,,
SE57,Cracking Codes with Python,An Introduction to Building and Breaking Ciphers,Al Sweigart,No Starch Press,http://books.google.com/books/content?id=nrgrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593278229,2018,en,1,Security,Available,,,,
SE58,Blockchain Basics,A Non-Technical Introduction in 25 Steps,Daniel Drescher,,,,,,,,BlockChain,Available,,,,
SE59,"Ethereum: Blockchains, Digital Assets, Smart Contracts, Decentralized Autonomous Organizations",,Henning Diedrich,,,,,,,,,Rented,Fran Alkhyat,7/16/2020,,8/13/2020
SE60,Introduction To Data Compression,,Khalid Sayood,Elsevier,https://m.media-amazon.com/images/I/51DGOG+QCpL._AC_UL872_FMwebp_QL65_.jpg,SE,9780128094747,2018,en,1,Algorithmic Programming,Available,,,,
SE61,Understanding Compression,Data Compression for Modern Developers,"Colt McAnlis, Aleks Haecky","O'Reilly Media, Inc.",http://books.google.com/books/content?id=Ii6rDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491961537,2016,en,1,Information Theory,Available,,,,
SE62,Regular Expressions Cookbook,,"Jan Goyvaerts, Steven Levithan","O'Reilly Media, Inc.",http://books.google.com/books/content?id=6k7IfACN_P8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781449319434,2012,en,1,Web Programming,Available,,,,
SE63,Introduction to Algorithms,,Thomas H. Cormen,,,,,,,,Algorithms & Math,Rented,Moritz Eich,13/Jul/2020,,3-Aug-2020
SE64,Agile Product Management with Scrum,Creating Products that Customers Love,Roman Pichler,Addison-Wesley Professional,http://books.google.com/books/content?id=aLSu0P0EojEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321605788,2010,en,1,Software Engineering,Available,,,,
SE65,A Programmer's Introduction to Mathematics,,Jeremy Kun,,,,,,,,Mathematics,Missing,,,,
SE66,"Design, Build, Ship: Faster, Safer Software Delivery",,Sam Newman,,,,,,,,Continous Integration,Missing,,,,
SE67,Developer Testing,Building Quality into Software,Alexander Tarlinder,Addison-Wesley Professional,http://books.google.com/books/content?id=Csz3DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780134291062,2017,en,1,Software Engineering,Missing,,,,
SE68,Modern Perl,,Chromatic,Pragmatic Bookshelf,http://books.google.com/books/content?id=JUjmsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781680500882,2015,en,1,Design Pattern Programming,Available,,,,
SE69,Fundamentals of Database Systems,,"Ramez Elmasri, Shamkant Navathe",Pearson Education,https://m.media-amazon.com/images/I/51gM3SDazGL._AC_UL640_FMwebp_QL65_.jpg,SE,9780133970777,2017,en,1,Databases,Available,,,,
SE70,The Elements of Statistical Learning,"Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, Jerome Friedman",Springer Science & Business Media,http://books.google.com/books/content?id=yPfZBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780387848570,2017,en,1,Databases,Available,,,,
SE71,Programming Elixir 1.3,,Dave Thomas,Pragmatic Bookshelf,https://m.media-amazon.com/images/I/71e3G9GANFL._AC_UL872_FMwebp_QL65_.jpg,SE,9781680502008,2016,en,1,Programming Languages,Available,,,,
SE72,Real-Time Rendering,Fourth Edition,"Tomas Akeine-Möller, Eric Haines, Naty Hoffman, Angelo Pesce, Michał Iwanicki, Sébastien Hillaire",,,,,,,,Games/Animation,Available,,,,
SE73,Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin ,,,,,,,,Software Engineering/Programming,Rented,Eva Lam ,4-Jun-2020,,11-Aug-2020
SE74,The Nature of Code,Simulating Natural Systems with Processing,Daniel Shiffman,Magic Book Project,http://books.google.com/books/content?id=hoK6lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9780985930806,2012,en,1,Programming Languages,Available,,,,
SE75,Smart Data,"Datenstrategien, die Kunden wirklich wollen und Unternehmen wirklich nützen","Lars Luck, Bjorn Bloching, Thomas Ramge",Redline Verlag,https://m.media-amazon.com/images/I/41UcLVd2c0L._AC_UL872_FMwebp_QL65_.jpg,SE,9783868815832,2015,de,1,Business Leadership,Available,,,,
SE76,Coders at Work,Reflections on the Craft of Programming,Peter Seibel,Apress,http://books.google.com/books/content?id=nneBa6-mWfgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781430219484,2009,en,1,Software Engineering,Available,,,,
SE77,Practical Arduino,Cool Projects for Open Source Hardware,"Jonathan Oxer, Hugh Blemings",Apress,http://books.google.com/books/content?id=CKWZiGoY8O4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781430224778,2009,en,1,Hardware,Available,,,,
SE78,Get Started with ESP8266 - Programming NodeMCU Using Arduino IDE,,Upskill Learning,Upskill Learning,http://books.google.com/books/content?id=XUOrDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781534822665,2016,en,1,Hardware,Available,,,,
SE79,Arduino Development Cookbook,"Over 50 hands-on recipes to quickly build and understand Arduino projects, from the simplest to the most extraordinary",Cornel Amariei,Packt Publishing Ltd,http://books.google.com/books/content?id=_IWHCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781783982943,2015,en,1,Hardware,Available,,,,
SE80,Augmented Reality - Principles and Practice,,"Dieter Schmalstieg, Tobias Hollerer",Addison-Wesley Professional,http://books.google.com/books/content?id=qPU2DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321883575,2016,en,1,3D,Available,,,,
